Day;EnergyConsumptionDailyCumulative;EnergyConsumptionAverage;EnergyConsumptionDailyMaximum;EnergyConsumptionDailyMinimum;HeatingDailyCumulative;HeatingAverage ;HeatingDailyMaximum;HeatingDailyMinimum;CoolingDailyCumulative;CoolingAverage ;CoolingDailyMaximum;CoolingDailyMinimum;LightingDailyCumulative;LightingAverage ;LightingDailyMaximum;LightingDailyMinimum;PlugLoadsDailyCumulative;PlugLoadsAverage ;PlugLoadsDailyMaximum;PlugLoadsDailyMinimum;CarbonEquivalentEmissionsDailyCumulative;CarbonEquivalentEmissionsAverage ;CarbonEquivalentEmissionsDailyMaximum;CarbonEquivalentEmissionsDailyMinimum
1;26.215209;1.0923;2.336793;0.307832;11.673206;0.486384;1.933303;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.209904;0.217079;0.379221;0.094244
2;32.077765;1.336574;2.590118;0.307832;17.535762;0.730657;1.951783;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.590489;0.232937;0.395666;0.094244
3;35.779708;1.490821;2.476715;0.307832;21.237705;0.884904;2.138474;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.83081;0.24295;0.388304;0.094244
4;32.778822;1.365784;2.481418;0.307832;18.236819;0.759867;2.157681;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.636;0.234833;0.372355;0.094244
5;23.746537;0.989439;2.426363;0.307832;9.204534;0.383522;2.102625;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.049644;0.210402;0.344348;0.094244
6;16.280016;0.678334;2.477149;0.23485;8.526215;0.355259;2.153411;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.927367;0.121974;0.238909;0.071901
7;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
8;30.745603;1.281067;3.127174;0.307832;16.2036;0.67515;2.803436;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.504008;0.229334;0.422233;0.094244
9;26.490756;1.103782;2.757203;0.307832;11.948754;0.497865;2.433465;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.227792;0.217825;0.387288;0.094244
10;27.511495;1.146312;2.635661;0.307832;12.969493;0.540396;2.311923;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.294056;0.220586;0.392594;0.094244
11;34.73819;1.447425;2.874877;0.307832;20.196187;0.841508;2.380192;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.763197;0.240133;0.414152;0.094244
12;34.895911;1.453996;2.690219;0.307832;20.353908;0.848079;2.366482;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.773436;0.24056;0.400445;0.094244
13;20.548491;0.856187;2.95761;0.23485;12.79469;0.533112;2.633873;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.204467;0.133519;0.270099;0.071901
14;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
15;26.482127;1.103422;2.768633;0.307832;11.940124;0.497505;2.444895;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.227232;0.217801;0.374701;0.094244
16;26.011447;1.08381;2.435814;0.307832;11.469445;0.477894;2.112077;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.196677;0.216528;0.361075;0.094244
17;31.620341;1.317514;2.507981;0.307832;17.078338;0.711597;1.850853;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.560794;0.2317;0.390334;0.094244
18;29.509537;1.229564;2.599362;0.307832;14.967534;0.623647;2.275624;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.423765;0.22599;0.373969;0.094244
19;32.840818;1.368367;2.685172;0.307832;18.298815;0.762451;2.361434;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.640024;0.235001;0.399481;0.094244
20;20.883403;0.870142;2.936793;0.23485;13.129602;0.547067;2.613056;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.226209;0.134425;0.268748;0.071901
21;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
22;38.695578;1.612316;3.585368;0.307832;24.153575;1.006399;3.100643;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;6.020102;0.250838;0.460275;0.094244
23;40.754411;1.6981;3.722435;0.307832;26.212409;1.092184;3.012742;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;6.153757;0.256407;0.469174;0.094244
24;34.85354;1.452231;3.338912;0.307832;20.311537;0.846314;3.015174;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.770686;0.240445;0.424021;0.094244
25;35.772221;1.490509;3.249955;0.307832;21.230218;0.884592;2.926218;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.830324;0.24293;0.425806;0.094244
26;32.239404;1.343308;3.088902;0.307832;17.697401;0.737392;2.765165;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.600982;0.233374;0.405246;0.094244
27;31.254183;1.302258;3.204001;0.23485;23.500381;0.979183;2.880263;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.899457;0.162477;0.331298;0.071901
28;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
29;54.461266;2.269219;4.438786;0.307832;39.919263;1.663303;3.996182;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;7.043576;0.293482;0.515677;0.094244
30;47.822963;1.992623;4.196215;0.307832;33.28096;1.386707;3.872478;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;6.612632;0.275526;0.478243;0.094244
31;43.192163;1.799673;4.010384;0.307832;28.650161;1.193757;3.686646;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;6.312011;0.263;0.440609;0.094244
32;34.566572;1.440274;3.371682;0.307832;20.024569;0.834357;3.047944;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.752056;0.239669;0.423122;0.094244
33;27.213802;1.133908;3.037834;0.307832;12.671799;0.527992;2.714096;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.274731;0.21978;0.351664;0.094244
34;18.635403;0.776475;2.734353;0.23485;10.881601;0.4534;2.410615;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.080274;0.128345;0.255606;0.071901
35;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
36;20.443582;0.851816;2.413445;0.307832;5.901579;0.245899;2.089707;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.835223;0.201468;0.300229;0.094244
37;19.257473;0.802395;1.94905;0.307832;4.715471;0.196478;1.625312;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.758224;0.198259;0.296274;0.094244
38;18.039542;0.751648;1.652288;0.307832;3.497539;0.145731;1.32855;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.679158;0.194965;0.289227;0.094244
39;18.026456;0.751102;1.62526;0.307832;3.484453;0.145186;1.301523;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.678309;0.19493;0.291943;0.094244
40;20.859981;0.869166;1.829346;0.307832;6.317978;0.263249;1.155807;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.862255;0.202594;0.346278;0.094244
41;18.840239;0.78501;2.190423;0.23485;11.086438;0.461935;1.866685;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.093571;0.128899;0.225889;0.071901
42;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
43;34.457631;1.435735;3.165211;0.307832;19.915629;0.829818;2.841473;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.744984;0.239374;0.375031;0.094244
