Day;Hour;EnergyConsumptionHourly;HeatingHourly;CoolingHourly;LightingHourly;PlugLoadsHourly;CarbonEquivalentEmissionsHourly
1;1;0.307832;0;0;0.015906;0.291925;0.094244
1;2;0.307832;0;0;0.015906;0.291925;0.094244
1;3;0.307832;0;0;0.015906;0.291925;0.094244
1;4;0.307832;0;0;0.015906;0.291925;0.094244
1;5;0.307832;0;0;0.015906;0.291925;0.094244
1;6;1.862783;1.539045;0;0.031812;0.291925;0.199025
1;7;1.717154;1.393416;0;0.031812;0.291925;0.189571
1;8;1.736253;1.34889;0;0.095437;0.291925;0.20616
1;9;1.866455;0.923312;0;0.286311;0.656832;0.348687
1;10;1.556156;0.613012;0;0.286311;0.656832;0.328543
1;11;1.129016;0.185872;0;0.286311;0.656832;0.300814
1;12;0.950373;0.00723;0;0.286311;0.656832;0.289217
1;13;0.870162;0;0;0.286311;0.583851;0.266404
1;14;0.943144;0;0;0.286311;0.656832;0.288748
1;15;0.943144;0;0;0.286311;0.656832;0.288748
1;16;0.943144;0;0;0.286311;0.656832;0.288748
1;17;0.949392;0.006249;0;0.286311;0.656832;0.289154
1;18;1.042819;0.236281;0;0.222687;0.583851;0.262264
1;19;1.100028;0.503078;0;0.159062;0.437888;0.215418
1;20;0.59695;0;0;0.159062;0.437888;0.182759
1;21;0.460344;0;0;0.095437;0.364907;0.140937
1;22;0.460344;0;0;0.095437;0.364907;0.140937
1;23;0.323738;0;0;0.031812;0.291925;0.099114
1;24;0.307832;0;0;0.015906;0.291925;0.094244
2;1;0.307832;0;0;0.015906;0.291925;0.094244
2;2;0.307832;0;0;0.015906;0.291925;0.094244
2;3;0.307832;0;0;0.015906;0.291925;0.094244
2;4;0.307832;0;0;0.015906;0.291925;0.094244
2;5;0.307832;0;0;0.015906;0.291925;0.094244
2;6;1.878944;1.555206;0;0.031812;0.291925;0.200074
2;7;1.739086;1.415348;0;0.031812;0.291925;0.190995
2;8;1.79904;1.411678;0;0.095437;0.291925;0.210236
2;9;2.10663;1.163486;0;0.286311;0.656832;0.364279
2;10;1.838092;0.894949;0;0.286311;0.656832;0.346846
2;11;1.623191;0.680048;0;0.286311;0.656832;0.332895
2;12;1.491813;0.54867;0;0.286311;0.656832;0.324367
2;13;1.262226;0.392064;0;0.286311;0.583851;0.291856
2;14;1.348086;0.404942;0;0.286311;0.656832;0.315036
2;15;1.361982;0.418839;0;0.286311;0.656832;0.315938
2;16;1.464909;0.521766;0;0.286311;0.656832;0.32262
2;17;1.570867;0.627723;0;0.286311;0.656832;0.329498
2;18;1.553486;0.746949;0;0.222687;0.583851;0.295416
2;19;1.479424;0.882474;0;0.159062;0.437888;0.240047
2;20;0.59695;0;0;0.159062;0.437888;0.182759
2;21;0.460344;0;0;0.095437;0.364907;0.140937
2;22;0.460344;0;0;0.095437;0.364907;0.140937
2;23;0.323738;0;0;0.031812;0.291925;0.099114
2;24;0.307832;0;0;0.015906;0.291925;0.094244
3;1;0.307832;0;0;0.015906;0.291925;0.094244
3;2;0.307832;0;0;0.015906;0.291925;0.094244
3;3;0.307832;0;0;0.015906;0.291925;0.094244
3;4;0.307832;0;0;0.015906;0.291925;0.094244
3;5;0.307832;0;0;0.015906;0.291925;0.094244
3;6;2.06786;1.744122;0;0.031812;0.291925;0.212338
3;7;1.894525;1.570787;0;0.031812;0.291925;0.201086
3;8;1.931767;1.544404;0;0.095437;0.291925;0.218852
3;9;1.891102;0.947959;0;0.286311;0.656832;0.350287
3;10;1.841199;0.898056;0;0.286311;0.656832;0.347048
3;11;1.791338;0.848194;0;0.286311;0.656832;0.343811
3;12;1.745318;0.802175;0;0.286311;0.656832;0.340823
3;13;1.572461;0.702299;0;0.286311;0.583851;0.311996
3;14;1.869825;0.926681;0;0.286311;0.656832;0.348906
3;15;1.95101;1.007866;0;0.286311;0.656832;0.354177
3;16;2.001393;1.05825;0;0.286311;0.656832;0.357447
3;17;2.023224;1.08008;0;0.286311;0.656832;0.358864
3;18;1.898856;1.092319;0;0.222687;0.583851;0.317836
3;19;1.741684;1.144734;0;0.159062;0.437888;0.257073
3;20;0.59695;0;0;0.159062;0.437888;0.182759
3;21;0.460344;0;0;0.095437;0.364907;0.140937
3;22;0.460344;0;0;0.095437;0.364907;0.140937
3;23;0.323738;0;0;0.031812;0.291925;0.099114
3;24;0.307832;0;0;0.015906;0.291925;0.094244
4;1;0.307832;0;0;0.015906;0.291925;0.094244
4;2;0.307832;0;0;0.015906;0.291925;0.094244
4;3;0.307832;0;0;0.015906;0.291925;0.094244
4;4;0.307832;0;0;0.015906;0.291925;0.094244
4;5;0.307832;0;0;0.015906;0.291925;0.094244
4;6;2.101543;1.777806;0;0.031812;0.291925;0.214525
4;7;1.886394;1.562656;0;0.031812;0.291925;0.200558
4;8;1.879842;1.492479;0;0.095437;0.291925;0.215481
4;9;1.771144;0.828001;0;0.286311;0.656832;0.3425
4;10;1.605753;0.662609;0;0.286311;0.656832;0.331763
4;11;1.603668;0.660524;0;0.286311;0.656832;0.331628
4;12;1.600618;0.657474;0;0.286311;0.656832;0.33143
4;13;1.470385;0.600223;0;0.286311;0.583851;0.30537
4;14;1.564444;0.6213;0;0.286311;0.656832;0.329082
4;15;1.540165;0.597021;0;0.286311;0.656832;0.327505
4;16;1.552124;0.60898;0;0.286311;0.656832;0.328282
4;17;1.613428;0.670285;0;0.286311;0.656832;0.332261
4;18;1.595436;0.788898;0;0.222687;0.583851;0.298139
4;19;1.519738;0.922788;0;0.159062;0.437888;0.242665
4;20;0.59695;0;0;0.159062;0.437888;0.182759
4;21;0.460344;0;0;0.095437;0.364907;0.140937
4;22;0.460344;0;0;0.095437;0.364907;0.140937
4;23;0.323738;0;0;0.031812;0.291925;0.099114
4;24;0.307832;0;0;0.015906;0.291925;0.094244
5;1;0.307832;0;0;0.015906;0.291925;0.094244
5;2;0.307832;0;0;0.015906;0.291925;0.094244
5;3;0.307832;0;0;0.015906;0.291925;0.094244
5;4;0.307832;0;0;0.015906;0.291925;0.094244
5;5;0.307832;0;0;0.015906;0.291925;0.094244
5;6;2.055269;1.731532;0;0.031812;0.291925;0.211521
5;7;1.868925;1.545187;0;0.031812;0.291925;0.199424
5;8;1.858207;1.470845;0;0.095437;0.291925;0.214077
5;9;1.363864;0.420721;0;0.286311;0.656832;0.31606
5;10;1.048703;0.105559;0;0.286311;0.656832;0.295601
5;11;0.943144;0;0;0.286311;0.656832;0.288748
5;12;0.943144;0;0;0.286311;0.656832;0.288748
5;13;0.870162;0;0;0.286311;0.583851;0.266404
5;14;0.943144;0;0;0.286311;0.656832;0.288748
5;15;0.943144;0;0;0.286311;0.656832;0.288748
5;16;0.943144;0;0;0.286311;0.656832;0.288748
5;17;0.943144;0;0;0.286311;0.656832;0.288748
5;18;0.864418;0.057881;0;0.222687;0.583851;0.250683
